pid,"source","alias","language"
385,"taxonomy/term/384","models/scientific-instruments-mentioned","und"
386,"taxonomy/term/385","models/speech","und"
387,"taxonomy/term/386","models/story","und"
388,"taxonomy/term/387","models/textbook","und"
389,"taxonomy/term/388","models/hornbook","und"
390,"taxonomy/term/389","models/reader","und"
391,"taxonomy/term/390","models/travel-literature","und"
392,"taxonomy/term/391","type-original-text/book","und"
393,"taxonomy/term/392","type-original-text/manuscript","und"
394,"taxonomy/term/393","type-original-text/letter","und"
395,"taxonomy/term/394","type-original-text/petition","und"
396,"taxonomy/term/395","type-original-text/journal","und"
397,"taxonomy/term/396","type-original-text/other","und"
398,"node/1","content/introduction","en"
399,"taxonomy/term/397","religion/jewish","und"
400,"taxonomy/term/398","religion/catholic","und"
401,"taxonomy/term/399","religion/protestant","und"
402,"taxonomy/term/400","religion/other-christian","und"
403,"taxonomy/term/401","religion/other-religion","und"
404,"node/2","people/dr-med-איסטרייכער","und"
405,"node/3","people/dr-med-ווארבורג","und"
406,"node/4","people/dr-בריינערסדארף","und"
407,"taxonomy/term/402","occupation/author","und"
408,"node/5","people/feder-guttmann-tuvia-פדר-טוביה","und"
409,"node/6","people/aaron-joseph-philipp-אהרן-יוסף","und"
410,"node/7","people/abraham-isaak","und"
411,"node/8","people/abraham-joel-emanuel","und"
412,"node/9","people/abraham-moses","und"
413,"node/10","people/abrahamsen-moses-levin","und"
414,"taxonomy/term/403","occupation/translator","und"
415,"node/11","people/ackord-elias-אקורד-אליהו","und"
416,"node/12","people/adolphi-pastor","und"
417,"node/13","people/alexander-abraham","und"
418,"node/14","people/alexander-isaak-אלכסנדר-יצחק","und"
419,"node/15","people/alexander-levy","und"
420,"node/16","people/alexander-levy-אלכסנדר-לוי","und"
421,"node/17","people/anonym","und"
422,"taxonomy/term/404","occupation/editor","und"
423,"node/18","people/anonymous","und"
424,"node/19","people/arnstein-freiherr-von-nathan-adam","und"
425,"node/20","people/arnstein-benedict-david-ארנשטיין-בנדיקט-דוד","und"
426,"node/21","people/arnstein-benedikt","und"
427,"node/22","people/arnstein-josef","und"
428,"node/23","people/arnstein-meier","und"
429,"node/24","people/arnstein-nathan-adam-freiherr-von-arnstein","und"
430,"node/25","people/arnstein-wolf-i","und"
431,"node/26","people/asch-abraham-אש-אברהם","und"
432,"node/27","people/ascher-judas-אשר-יהודה","und"
433,"taxonomy/term/405","occupation/mevi-ladfus-producer","und"
434,"node/28","people/ascher-saul-אשר-שאול","und"
435,"node/29","people/bamberger-wolff","und"
436,"node/30","people/baras-simon-ברז-שמעון","und"
437,"node/31","people/bartenstein-joseph","und"
438,"node/32","people/baruch-schick-shklov-שיק-ברוך-משקלוב","und"
439,"node/33","people/baschwitz-בשוויץ-ברוך","und"
440,"node/34","people/baschwitz-zebi-hirsch-ben-meir-בשביץ-צבי-הירש-בן-מאיר","und"
441,"node/35","people/beer-bing-jesaia-בער-ישי","und"
442,"node/36","people/beer-aaron","und"
443,"node/37","people/beer-moses","und"
444,"node/38","people/beer-peter-בער-פרץ","und"
445,"node/39","people/belinfante-isaac","und"
446,"node/40","people/belinfante-isaac-בלינפנטי-יצחק","und"
447,"node/41","people/bellerman-johann-joachim","und"
448,"node/42","people/below-münzdirektor","und"
449,"taxonomy/term/406","occupation/commentator","und"
450,"node/43","people/ben-seew-juda-löb-בן-זאב-יהודה-ליב","und"
451,"node/44","people/ben-jacob-meir-בן-יעקב-מאיר","und"
452,"node/45","people/bendavid-lazarus-בנדוד-לצרוס","und"
453,"node/46","people/bendix-hirsch-nathan","und"
454,"node/47","people/bendix-jeremias","und"
455,"node/48","people/bendix-levin-nathan","und"
456,"node/49","people/benet-mordechai","und"
457,"node/50","people/berend-callmann","und"
458,"node/51","people/berend-ellerich","und"
459,"node/52","people/berend-mendel","und"
460,"node/53","people/berend-s-l-landesältester","und"
461,"node/54","people/berlin-saul","und"
462,"node/55","people/berlin-hirsch","und"
463,"node/56","people/berlin-saul-ברלין-שאול","und"
464,"node/57","people/berr-isaac-berr-בר-יצחק-בר","und"
465,"node/58","people/berr-michel-בר-מיכאל","und"
466,"node/59","people/bing-beer-abraham-בינג-אברהם-בר","und"
467,"node/60","people/binge-abraham","und"
468,"node/61","people/bloch-marcus-elieser","und"
469,"node/62","people/boas-isaak","und"
470,"node/63","people/boas-simon","und"
471,"node/64","people/bock-moses-hirsch-בוק-משה-בן-צבי","und"
472,"node/65","people/bondi-hirsch","und"
473,"node/66","people/bondi-isaac","und"
474,"node/67","people/bondi-mardochai-בונדי-מרדכי","und"
475,"node/68","people/bondi-moses","und"
476,"node/69","people/bondi-simon","und"
477,"node/70","people/borchard-jacob-isaac","und"
478,"node/71","people/bran-alexander","und"
479,"node/72","people/breslauer-mendel","und"
480,"node/73","people/bresslau-löbel","und"
481,"node/74","people/brug-lazarus","und"
482,"node/75","people/buchner-zeev-wolf-בוכנר-זאב-וולף","und"
483,"node/76","people/büschenthal-lippmann-moses-בישנטל-ליפמן-משה","und"
484,"node/77","people/carlotta-arnstein","und"
485,"node/78","people/caspar-isaac","und"
486,"node/79","people/cassel-david","und"
487,"node/80","people/chorin-aaron-אהרן-בן-קלמן","und"
488,"node/81","people/cohen-benjamin-moses-כהן-בנימין-משה","und"
489,"node/82","people/cohen-chanania-elchanan-chaj-כהן-חנניה-אלחנן-חי","und"
490,"node/83","people/cohen-salomon-jacob-כהן-שלום","und"
491,"node/84","people/cohn-nathan-lehrer","und"
492,"node/85","people/cologna-abraham-de-קולוניא-אברהם-חי-די","und"
493,"node/86","people/cöslin-chajim-קסלין-חיים","und"
494,"node/87","people/david-friedrich-megerlin","und"
495,"node/88","people/david-jakob-ries","und"
496,"node/89","people/david-levi","und"
497,"node/90","people/david-levin","und"
498,"node/91","people/david-joseph-nathan","und"
499,"node/92","people/david-meyer-michel-kammeragent","und"
500,"node/93","people/davidson-wolf-דוידזון-וולף","und"
501,"node/94","people/derenburg-zebi-hirsch-דרנבורג-הירש","und"
502,"node/95","people/dessau-wolf-דסאו-וולף","und"
503,"node/96","people/detmold-anna","und"
504,"node/97","people/detmold-samuel-דטמולד-שמואל","und"
505,"node/98","people/diehl","und"
506,"node/99","people/direktion-der-kaufmännischen-ressource","und"
507,"node/100","people/dohm-syndicus","und"
508,"node/101","people/dohm-lewin-benjamin-דוהם-לוין-בנימין","und"
509,"node/102","people/dormitzer-meir-markus-דורמיצר-מאיר","und"
510,"node/103","people/driesen-mordechai-דריזן-מרדכי-בן-שמעיה","und"
511,"node/104","people/dubno-salomon","und"
512,"node/105","people/dubno-salomon-דובנא-שלמה","und"
513,"node/106","people/elbthal","und"
514,"node/107","people/elia-b-daniel-jaffe","und"
515,"node/108","people/elias-meyer-kammeragent","und"
516,"node/109","people/elias-philipp","und"
517,"node/110","people/engel","und"
518,"node/111","people/ephraim","und"
519,"node/112","people/ephraim-lion-davids-אפרים-בן-ליב","und"
520,"node/113","people/ephraim-david","und"
521,"node/114","people/ephraim-samuel-hirsch","und"
522,"node/115","people/epstein-pelte-moses-אפשטין-פלטא-בן-משה","und"
523,"node/116","people/erhraim-veitel-h","und"
524,"node/117","people/eschwege","und"
525,"node/118","people/eskeles-bernhard","und"
526,"node/119","people/eskeles-bernhard-von","und"
527,"node/120","people/euchel-demoiselle","und"
528,"node/121","people/euchel-gottleb-אייכל-יחיאל-גוטליב","und"
529,"node/122","people/euchel-isaac-abraham","und"
530,"node/123","people/euchel-isaak","und"
531,"node/124","people/ezechel-caspar","und"
532,"node/125","people/fischer-markus-פישר-מאיר","und"
533,"node/126","people/francia-de-beaufleury-louis","und"
534,"node/127","people/franco-mendes-david","und"
535,"node/128","people/franco-mendes-david-פרנקו-מנדס-דוד","und"
536,"node/129","people/fränkel","und"
537,"node/130","people/fränkel-david","und"
538,"node/131","people/fränkel-david-פרנקל-דוד","und"
539,"node/132","people/fränkel-michael","und"
540,"node/133","people/fränkel-moses-s","und"
541,"node/134","people/franz-ii","und"
542,"node/135","people/friedeburg-madame-herz","und"
543,"node/136","people/friedländer-abraham","und"
544,"node/137","people/friedländer-adelaide","und"
545,"node/138","people/friedländer-angelika","und"
546,"node/139","people/friedländer-bernhard","und"
547,"taxonomy/term/407","gender/male","und"
548,"node/140","people/friedländer-david","und"
549,"node/141","people/friedländer-goldea","und"
550,"node/142","people/friedländer-h-n-buchhändler","und"
551,"node/143","people/friedländer-hanna","und"
552,"node/144","people/friedländer-heimann-meyer","und"
553,"node/145","people/friedländer-hinde","und"
554,"node/146","people/friedländer-hirsch-elias","und"
555,"node/147","people/friedländer-meier","und"
556,"node/148","people/friedländer-meyer","und"
557,"node/149","people/friedländer-michael-פרידענדר-מיכאל","und"
558,"node/150","people/friedländer-pessel","und"
559,"node/151","people/friedländer-rebekka-meyer","und"
560,"node/152","people/friedländer-rebekka-wulff","und"
561,"node/153","people/friedländer-recha-wulff","und"
562,"node/154","people/friedländer-salomon","und"
563,"node/155","people/friedländer-samuel-wulff","und"
564,"node/156","people/friedländer-sanwil","und"
565,"node/157","people/friedländer-sanwil-פרידלנדר-זנוויל-שמואל","und"
566,"node/158","people/friedländer-simon","und"
567,"node/159","people/friedländer-simon-bendix","und"
