"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_main_textual_models_tid
"node","book",0,2217,2217,"und",0,351
"node","book",0,2217,2217,"und",1,355
"node","book",0,2217,2217,"und",2,366
"node","book",0,2217,2217,"und",3,370
"node","book",0,2217,2217,"und",4,372
"node","book",0,2218,2218,"und",0,351
"node","book",0,2218,2218,"und",1,358
"node","book",0,2219,2219,"und",0,351
"node","book",0,2219,2219,"und",1,357
"node","book",0,2219,2219,"und",2,386
"node","book",0,2220,2220,"und",0,342
"node","book",0,2221,2221,"und",0,351
"node","book",0,2222,2222,"und",0,324
"node","book",0,2222,2222,"und",1,366
"node","book",0,2222,2222,"und",2,370
"node","book",0,2223,2223,"und",0,324
"node","book",0,2223,2223,"und",1,366
"node","book",0,2223,2223,"und",2,370
"node","book",0,2224,2224,"und",0,324
"node","book",0,2224,2224,"und",1,366
"node","book",0,2224,2224,"und",2,370
"node","book",0,2225,2225,"und",0,324
"node","book",0,2225,2225,"und",1,366
"node","book",0,2225,2225,"und",2,370
"node","book",0,2226,2226,"und",0,324
"node","book",0,2226,2226,"und",1,366
"node","book",0,2226,2226,"und",2,370
"node","book",0,2227,2227,"und",0,324
"node","book",0,2227,2227,"und",1,366
"node","book",0,2227,2227,"und",2,370
"node","book",0,2228,2228,"und",0,324
"node","book",0,2228,2228,"und",1,366
"node","book",0,2228,2228,"und",2,370
"node","book",0,2229,2229,"und",0,324
"node","book",0,2229,2229,"und",1,366
"node","book",0,2229,2229,"und",2,370
"node","book",0,2230,2230,"und",0,347
"node","book",0,2230,2230,"und",1,351
"node","book",0,2230,2230,"und",2,352
"node","book",0,2230,2230,"und",3,366
"node","book",0,2231,2231,"und",0,332
"node","book",0,2232,2232,"und",0,332
"node","book",0,2234,2234,"und",0,325
"node","book",0,2234,2234,"und",1,347
"node","book",0,2234,2234,"und",2,351
"node","book",0,2234,2234,"und",3,352
"node","book",0,2237,2237,"und",0,332
"node","book",0,2239,2239,"und",0,366
"node","book",0,2239,2239,"und",1,367
"node","book",0,2240,2240,"und",0,351
"node","book",0,2240,2240,"und",1,355
"node","book",0,2241,2241,"und",0,336
"node","book",0,2241,2241,"und",1,386
"node","book",0,2243,2243,"und",0,320
"node","book",0,2243,2243,"und",1,323
"node","book",0,2245,2245,"und",0,320
"node","book",0,2245,2245,"und",1,323
"node","book",0,2246,2246,"und",0,320
"node","book",0,2246,2246,"und",1,323
"node","book",0,2247,2247,"und",0,320
"node","book",0,2247,2247,"und",1,323
"node","book",0,2249,2249,"und",0,338
"node","book",0,2249,2249,"und",1,339
"node","book",0,2250,2250,"und",0,366
"node","book",0,2250,2250,"und",1,370
"node","book",0,2251,2251,"und",0,387
"node","book",0,2252,2252,"und",0,366
"node","book",0,2252,2252,"und",1,370
"node","book",0,2253,2253,"und",0,324
"node","book",0,2253,2253,"und",1,366
"node","book",0,2253,2253,"und",2,370
"node","book",0,2254,2254,"und",0,336
"node","book",0,2255,2255,"und",0,366
"node","book",0,2255,2255,"und",1,367
"node","book",0,2255,2255,"und",2,368
"node","book",0,2258,2258,"und",0,332
"node","book",0,2259,2259,"und",0,343
"node","book",0,2259,2259,"und",1,344
"node","book",0,2260,2260,"und",0,336
"node","book",0,2262,2262,"und",0,366
"node","book",0,2263,2263,"und",0,331
"node","book",0,2263,2263,"und",1,386
"node","book",0,2264,2264,"und",0,366
"node","book",0,2266,2266,"und",0,351
"node","book",0,2270,2270,"und",0,385
"node","book",0,2271,2271,"und",0,324
"node","book",0,2272,2272,"und",0,387
"node","book",0,2274,2274,"und",0,335
"node","book",0,2276,2276,"und",0,336
"node","book",0,2277,2277,"und",0,338
"node","book",0,2277,2277,"und",1,340
"node","book",0,2278,2278,"und",0,336
"node","book",0,2280,2280,"und",0,320
"node","book",0,2280,2280,"und",1,323
"node","book",0,2282,2282,"und",0,331
"node","book",0,2284,2284,"und",0,387
"node","book",0,2285,2285,"und",0,336
"node","book",0,2286,2286,"und",0,377
"node","book",0,2288,2288,"und",0,342
"node","book",0,2288,2288,"und",1,377
"node","book",0,2289,2289,"und",0,330
"node","book",0,2290,2290,"und",0,338
"node","book",0,2290,2290,"und",1,387
"node","book",0,2291,2291,"und",0,338
"node","book",0,2291,2291,"und",1,387
"node","book",0,2292,2292,"und",0,338
"node","book",0,2292,2292,"und",1,339
"node","book",0,2292,2292,"und",2,340
"node","book",0,2294,2294,"und",0,342
"node","book",0,2294,2294,"und",1,351
"node","book",0,2295,2295,"und",0,324
"node","book",0,2296,2296,"und",0,324
"node","book",0,2297,2297,"und",0,324
"node","book",0,2298,2298,"und",0,324
"node","book",0,2299,2299,"und",0,336
"node","book",0,2300,2300,"und",0,366
"node","book",0,2300,2300,"und",1,368
"node","book",0,2304,2304,"und",0,336
"node","book",0,2304,2304,"und",1,387
"node","book",0,2305,2305,"und",0,351
"node","book",0,2305,2305,"und",1,357
"node","book",0,2307,2307,"und",0,387
"node","book",0,2311,2311,"und",0,380
"node","book",0,2311,2311,"und",1,381
"node","book",0,2311,2311,"und",2,383
"node","book",0,2312,2312,"und",0,387
"node","book",0,2313,2313,"und",0,366
"node","book",0,2313,2313,"und",1,368
"node","book",0,2316,2316,"und",0,366
"node","book",0,2316,2316,"und",1,370
"node","book",0,2319,2319,"und",0,387
"node","book",0,2322,2322,"und",0,332
"node","book",0,2322,2322,"und",1,377
"node","book",0,2323,2323,"und",0,336
"node","book",0,2324,2324,"und",0,325
"node","book",0,2324,2324,"und",1,327
"node","book",0,2324,2324,"und",2,347
"node","book",0,2328,2328,"und",0,324
"node","book",0,2329,2329,"und",0,324
"node","book",0,2330,2330,"und",0,324
"node","book",0,2331,2331,"und",0,324
"node","book",0,2332,2332,"und",0,324
"node","book",0,2333,2333,"und",0,324
"node","book",0,2334,2334,"und",0,324
"node","book",0,2335,2335,"und",0,324
"node","book",0,2336,2336,"und",0,324
"node","book",0,2337,2337,"und",0,387
"node","book",0,2338,2338,"und",0,336
"node","book",0,2339,2339,"und",0,335
"node","book",0,2339,2339,"und",1,386
"node","book",0,2341,2341,"und",0,325
"node","book",0,2341,2341,"und",1,327
"node","book",0,2342,2342,"und",0,325
"node","book",0,2342,2342,"und",1,327
"node","book",0,2344,2344,"und",0,336
"node","book",0,2346,2346,"und",0,342
"node","book",0,2347,2347,"und",0,324
"node","book",0,2348,2348,"und",0,324
"node","book",0,2349,2349,"und",0,324
"node","book",0,2350,2350,"und",0,324
"node","book",0,2351,2351,"und",0,324
"node","book",0,2352,2352,"und",0,324
"node","book",0,2353,2353,"und",0,387
"node","book",0,2354,2354,"und",0,366
"node","book",0,2354,2354,"und",1,368
"node","book",0,2356,2356,"und",0,380
"node","book",0,2357,2357,"und",0,336
"node","book",0,2357,2357,"und",1,342
"node","book",0,2358,2358,"und",0,385
"node","book",0,2360,2360,"und",0,387
"node","book",0,2361,2361,"und",0,332
"node","book",0,2362,2362,"und",0,360
"node","book",0,2362,2362,"und",1,363
"node","book",0,2363,2363,"und",0,366
"node","book",0,2363,2363,"und",1,368
"node","book",0,2365,2365,"und",0,335
"node","book",0,2367,2367,"und",0,335
"node","book",0,2367,2367,"und",1,366
"node","book",0,2367,2367,"und",2,368
"node","book",0,2368,2368,"und",0,330
"node","book",0,2372,2372,"und",0,336
"node","book",0,2374,2374,"und",0,366
"node","book",0,2374,2374,"und",1,368
"node","book",0,2375,2375,"und",0,341
"node","book",0,2376,2376,"und",0,336
"node","book",0,2378,2378,"und",0,380
"node","book",0,2379,2379,"und",0,347
"node","book",0,2380,2380,"und",0,336
"node","book",0,2381,2381,"und",0,377
"node","book",0,2381,2381,"und",1,379
"node","book",0,2382,2382,"und",0,347
"node","book",0,2382,2382,"und",1,351
"node","book",0,2383,2383,"und",0,324
"node","book",0,2385,2385,"und",0,385
"node","book",0,2390,2390,"und",0,336
"node","book",0,2391,2391,"und",0,336
"node","book",0,2391,2391,"und",1,366
"node","book",0,2391,2391,"und",2,368
"node","book",0,2393,2393,"und",0,366
"node","book",0,2393,2393,"und",1,368
"node","book",0,2396,2396,"und",0,336
"node","book",0,2397,2397,"und",0,324
"node","book",0,2399,2399,"und",0,347
"node","book",0,2399,2399,"und",1,351
"node","book",0,2400,2400,"und",0,336
"node","book",0,2402,2402,"und",0,351
"node","book",0,2402,2402,"und",1,353
"node","book",0,2402,2402,"und",2,385
"node","book",0,2405,2405,"und",0,351
"node","book",0,2405,2405,"und",1,353
"node","book",0,2406,2406,"und",0,341
"node","book",0,2408,2408,"und",0,351
"node","book",0,2408,2408,"und",1,355
"node","book",0,2408,2408,"und",2,357
"node","book",0,2408,2408,"und",3,366
"node","book",0,2408,2408,"und",4,370
"node","book",0,2408,2408,"und",5,372
"node","book",0,2409,2409,"und",0,351
"node","book",0,2409,2409,"und",1,355
"node","book",0,2410,2410,"und",0,320
"node","book",0,2410,2410,"und",1,321
"node","book",0,2411,2411,"und",0,351
"node","book",0,2412,2412,"und",0,351
"node","book",0,2412,2412,"und",1,355
"node","book",0,2413,2413,"und",0,347
"node","book",0,2414,2414,"und",0,366
"node","book",0,2414,2414,"und",1,367
"node","book",0,2415,2415,"und",0,336
"node","book",0,2417,2417,"und",0,336
"node","book",0,2417,2417,"und",1,387
"node","book",0,2418,2418,"und",0,336
"node","book",0,2419,2419,"und",0,380
"node","book",0,2419,2419,"und",1,381
"node","book",0,2420,2420,"und",0,387
"node","book",0,2421,2421,"und",0,336
"node","book",0,2421,2421,"und",1,338
"node","book",0,2421,2421,"und",2,340
"node","book",0,2421,2421,"und",3,387
"node","book",0,2422,2422,"und",0,336
"node","book",0,2423,2423,"und",0,330
"node","book",0,2426,2426,"und",0,351
"node","book",0,2426,2426,"und",1,355
"node","book",0,2427,2427,"und",0,351
"node","book",0,2427,2427,"und",1,357
"node","book",0,2428,2428,"und",0,324
