"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_mentionee_description_tid
"node","mention",0,3277,3277,"und",0,803
"node","mention",0,3278,3278,"und",0,803
"node","mention",0,3279,3279,"und",0,803
"node","mention",0,3280,3280,"und",0,803
"node","mention",0,3281,3281,"und",0,803
"node","mention",0,3282,3282,"und",0,803
"node","mention",0,3283,3283,"und",0,803
"node","mention",0,3284,3284,"und",0,803
"node","mention",0,3285,3285,"und",0,803
"node","mention",0,3286,3286,"und",0,803
"node","mention",0,3287,3287,"und",0,803
"node","mention",0,3288,3288,"und",0,803
"node","mention",0,3289,3289,"und",0,803
"node","mention",0,3290,3290,"und",0,803
"node","mention",0,3291,3291,"und",0,803
"node","mention",0,3292,3292,"und",0,803
"node","mention",0,3293,3293,"und",0,803
"node","mention",0,3294,3294,"und",0,803
"node","mention",0,3295,3295,"und",0,803
"node","mention",0,3296,3296,"und",0,803
"node","mention",0,3297,3297,"und",0,803
"node","mention",0,3298,3298,"und",0,803
"node","mention",0,3299,3299,"und",0,803
"node","mention",0,3300,3300,"und",0,803
"node","mention",0,3301,3301,"und",0,803
"node","mention",0,3302,3302,"und",0,803
"node","mention",0,3303,3303,"und",0,803
"node","mention",0,3304,3304,"und",0,803
"node","mention",0,3305,3305,"und",0,803
"node","mention",0,3306,3306,"und",0,803
"node","mention",0,3307,3307,"und",0,803
"node","mention",0,3308,3308,"und",0,803
"node","mention",0,3309,3309,"und",0,803
"node","mention",0,3310,3310,"und",0,803
"node","mention",0,3311,3311,"und",0,803
"node","mention",0,3312,3312,"und",0,803
"node","mention",0,3313,3313,"und",0,803
"node","mention",0,3314,3314,"und",0,803
"node","mention",0,3315,3315,"und",0,803
"node","mention",0,3316,3316,"und",0,803
"node","mention",0,3317,3317,"und",0,803
"node","mention",0,3318,3318,"und",0,803
"node","mention",0,3319,3319,"und",0,803
"node","mention",0,3320,3320,"und",0,803
"node","mention",0,3321,3321,"und",0,803
"node","mention",0,3322,3322,"und",0,803
"node","mention",0,3323,3323,"und",0,803
"node","mention",0,3324,3324,"und",0,803
"node","mention",0,3325,3325,"und",0,803
"node","mention",0,3326,3326,"und",0,803
"node","mention",0,3327,3327,"und",0,803
"node","mention",0,3328,3328,"und",0,803
"node","mention",0,3329,3329,"und",0,803
"node","mention",0,3330,3330,"und",0,803
"node","mention",0,3331,3331,"und",0,803
"node","mention",0,3332,3332,"und",0,803
"node","mention",0,3333,3333,"und",0,803
"node","mention",0,3334,3334,"und",0,803
"node","mention",0,3335,3335,"und",0,803
"node","mention",0,3336,3336,"und",0,803
"node","mention",0,3337,3337,"und",0,803
"node","mention",0,3338,3338,"und",0,803
"node","mention",0,3339,3339,"und",0,803
"node","mention",0,3340,3340,"und",0,803
"node","mention",0,3341,3341,"und",0,803
"node","mention",0,3342,3342,"und",0,803
"node","mention",0,3343,3343,"und",0,803
"node","mention",0,3344,3344,"und",0,803
"node","mention",0,3345,3345,"und",0,803
"node","mention",0,3346,3346,"und",0,803
"node","mention",0,3347,3347,"und",0,803
"node","mention",0,3348,3348,"und",0,803
"node","mention",0,3349,3349,"und",0,803
"node","mention",0,3350,3350,"und",0,803
"node","mention",0,3351,3351,"und",0,803
"node","mention",0,3352,3352,"und",0,803
"node","mention",0,3353,3353,"und",0,803
"node","mention",0,3354,3354,"und",0,803
"node","mention",0,3355,3355,"und",0,803
"node","mention",0,3356,3356,"und",0,803
"node","mention",0,3357,3357,"und",0,803
"node","mention",0,3358,3358,"und",0,803
"node","mention",0,3359,3359,"und",0,803
"node","mention",0,3360,3360,"und",0,803
"node","mention",0,3361,3361,"und",0,803
"node","mention",0,3362,3362,"und",0,803
"node","mention",0,3363,3363,"und",0,803
"node","mention",0,3364,3364,"und",0,803
"node","mention",0,3365,3365,"und",0,803
"node","mention",0,3366,3366,"und",0,803
"node","mention",0,3367,3367,"und",0,803
"node","mention",0,3368,3368,"und",0,803
"node","mention",0,3369,3369,"und",0,803
"node","mention",0,3370,3370,"und",0,803
"node","mention",0,3371,3371,"und",0,803
"node","mention",0,3372,3372,"und",0,803
"node","mention",0,3373,3373,"und",0,803
"node","mention",0,3374,3374,"und",0,803
"node","mention",0,3375,3375,"und",0,803
"node","mention",0,3376,3376,"und",0,803
"node","mention",0,3377,3377,"und",0,803
"node","mention",0,3378,3378,"und",0,803
"node","mention",0,3379,3379,"und",0,803
"node","mention",0,3380,3380,"und",0,803
"node","mention",0,3381,3381,"und",0,803
"node","mention",0,3382,3382,"und",0,803
"node","mention",0,3383,3383,"und",0,803
"node","mention",0,3384,3384,"und",0,803
"node","mention",0,3385,3385,"und",0,803
"node","mention",0,3386,3386,"und",0,803
"node","mention",0,3387,3387,"und",0,803
"node","mention",0,3388,3388,"und",0,803
"node","mention",0,3389,3389,"und",0,803
"node","mention",0,3390,3390,"und",0,803
"node","mention",0,3391,3391,"und",0,803
"node","mention",0,3392,3392,"und",0,803
"node","mention",0,3393,3393,"und",0,803
"node","mention",0,3394,3394,"und",0,803
"node","mention",0,3395,3395,"und",0,803
"node","mention",0,3396,3396,"und",0,803
"node","mention",0,3397,3397,"und",0,803
"node","mention",0,3398,3398,"und",0,803
