"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_edition_references_value","field_edition_references_format"
"node","edition",0,2810,2810,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2811,2811,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2812,2812,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2813,2813,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2814,2814,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2815,2815,"und",0,"IUL, וגם בדיקה ישירה של מהדורות 1807, 1816, 1825, 1838, 1850 - המצוייות בספריית אוניברסיטת תל אביב.",NULL
"node","edition",0,2816,2816,"und",0,"IUL",NULL
"node","edition",0,2817,2817,"und",0,"IUL",NULL
"node","edition",0,2818,2818,"und",0,"IUL",NULL
"node","edition",0,2819,2819,"und",0,"IUL",NULL
"node","edition",0,2820,2820,"und",0,"IUL",NULL
"node","edition",0,2821,2821,"und",0,"IUL",NULL
"node","edition",0,2822,2822,"und",0,"IUL",NULL
"node","edition",0,2823,2823,"und",0,"IUL",NULL
"node","edition",0,2824,2824,"und",0,"IUL",NULL
"node","edition",0,2825,2825,"und",0,"IUL",NULL
"node","edition",0,2826,2826,"und",0,"?? - יש צורך לבדוק זאת שוב - ישנה אי התאמה בין השנה הלועזית לעברית

IUL",NULL
"node","edition",0,2827,2827,"und",0,"IUL",NULL
"node","edition",0,2828,2828,"und",0,"IUL",NULL
"node","edition",0,2829,2829,"und",0,"IUL",NULL
"node","edition",0,2830,2830,"und",0,"IUL",NULL
"node","edition",0,2831,2831,"und",0,"IUL",NULL
"node","edition",0,2832,2832,"und",0,"IUL",NULL
"node","edition",0,2833,2833,"und",0,"IUL",NULL
