"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_topic_tid
"node","book",0,2217,2217,"und",0,460
"node","book",0,2218,2218,"und",0,460
"node","book",0,2219,2219,"und",0,634
"node","book",0,2219,2219,"und",1,459
"node","book",0,2219,2219,"und",2,662
"node","book",0,2219,2219,"und",3,683
"node","book",0,2219,2219,"und",4,453
"node","book",0,2220,2220,"und",0,550
"node","book",0,2220,2220,"und",1,629
"node","book",0,2220,2220,"und",2,434
"node","book",0,2221,2221,"und",0,434
"node","book",0,2222,2222,"und",0,643
"node","book",0,2222,2222,"und",1,431
"node","book",0,2222,2222,"und",2,492
"node","book",0,2223,2223,"und",0,643
"node","book",0,2223,2223,"und",1,431
"node","book",0,2224,2224,"und",0,643
"node","book",0,2224,2224,"und",1,431
"node","book",0,2225,2225,"und",0,643
"node","book",0,2225,2225,"und",1,431
"node","book",0,2226,2226,"und",0,643
"node","book",0,2226,2226,"und",1,431
"node","book",0,2227,2227,"und",0,643
"node","book",0,2227,2227,"und",1,431
"node","book",0,2228,2228,"und",0,643
"node","book",0,2228,2228,"und",1,431
"node","book",0,2229,2229,"und",0,643
"node","book",0,2229,2229,"und",1,491
"node","book",0,2229,2229,"und",2,431
"node","book",0,2230,2230,"und",0,489
"node","book",0,2230,2230,"und",1,453
"node","book",0,2231,2231,"und",0,489
"node","book",0,2231,2231,"und",1,476
"node","book",0,2231,2231,"und",2,691
"node","book",0,2231,2231,"und",3,576
"node","book",0,2231,2231,"und",4,586
"node","book",0,2231,2231,"und",5,481
"node","book",0,2231,2231,"und",6,492
"node","book",0,2232,2232,"und",0,634
"node","book",0,2234,2234,"und",0,490
"node","book",0,2234,2234,"und",1,459
"node","book",0,2234,2234,"und",2,692
"node","book",0,2234,2234,"und",3,453
"node","book",0,2234,2234,"und",4,478
"node","book",0,2234,2234,"und",5,461
"node","book",0,2235,2235,"und",0,643
"node","book",0,2236,2236,"und",0,580
"node","book",0,2236,2236,"und",1,662
"node","book",0,2236,2236,"und",2,683
"node","book",0,2237,2237,"und",0,594
"node","book",0,2237,2237,"und",1,635
"node","book",0,2239,2239,"und",0,489
"node","book",0,2239,2239,"und",1,459
"node","book",0,2239,2239,"und",2,453
"node","book",0,2241,2241,"und",0,624
"node","book",0,2241,2241,"und",1,527
"node","book",0,2241,2241,"und",2,453
"node","book",0,2241,2241,"und",3,524
"node","book",0,2241,2241,"und",4,529
"node","book",0,2242,2242,"und",0,451
"node","book",0,2242,2242,"und",1,691
"node","book",0,2242,2242,"und",2,527
"node","book",0,2242,2242,"und",3,695
"node","book",0,2242,2242,"und",4,567
"node","book",0,2242,2242,"und",5,696
"node","book",0,2242,2242,"und",6,547
"node","book",0,2242,2242,"und",7,524
"node","book",0,2242,2242,"und",8,672
"node","book",0,2243,2243,"und",0,623
"node","book",0,2243,2243,"und",1,516
"node","book",0,2243,2243,"und",2,459
"node","book",0,2243,2243,"und",3,622
"node","book",0,2243,2243,"und",4,453
"node","book",0,2245,2245,"und",0,602
"node","book",0,2245,2245,"und",1,619
"node","book",0,2245,2245,"und",2,623
"node","book",0,2245,2245,"und",3,631
"node","book",0,2245,2245,"und",4,594
"node","book",0,2245,2245,"und",5,476
"node","book",0,2245,2245,"und",6,691
"node","book",0,2245,2245,"und",7,620
"node","book",0,2245,2245,"und",8,453
"node","book",0,2245,2245,"und",9,528
"node","book",0,2245,2245,"und",10,676
"node","book",0,2245,2245,"und",11,435
"node","book",0,2245,2245,"und",12,478
"node","book",0,2246,2246,"und",0,631
"node","book",0,2246,2246,"und",1,594
"node","book",0,2246,2246,"und",2,453
"node","book",0,2247,2247,"und",0,619
"node","book",0,2247,2247,"und",1,631
"node","book",0,2247,2247,"und",2,573
"node","book",0,2247,2247,"und",3,453
"node","book",0,2248,2248,"und",0,565
"node","book",0,2248,2248,"und",1,699
"node","book",0,2248,2248,"und",2,461
"node","book",0,2248,2248,"und",3,529
"node","book",0,2249,2249,"und",0,459
"node","book",0,2249,2249,"und",1,518
"node","book",0,2251,2251,"und",0,459
"node","book",0,2251,2251,"und",1,518
"node","book",0,2254,2254,"und",0,489
"node","book",0,2255,2255,"und",0,489
"node","book",0,2255,2255,"und",1,675
"node","book",0,2255,2255,"und",2,453
"node","book",0,2255,2255,"und",3,478
"node","book",0,2255,2255,"und",4,481
"node","book",0,2256,2256,"und",0,459
"node","book",0,2258,2258,"und",0,565
"node","book",0,2258,2258,"und",1,453
"node","book",0,2258,2258,"und",2,704
"node","book",0,2259,2259,"und",0,480
"node","book",0,2259,2259,"und",1,507
"node","book",0,2259,2259,"und",2,706
"node","book",0,2259,2259,"und",3,434
"node","book",0,2259,2259,"und",4,445
"node","book",0,2259,2259,"und",5,428
"node","book",0,2260,2260,"und",0,619
"node","book",0,2260,2260,"und",1,663
"node","book",0,2260,2260,"und",2,707
"node","book",0,2260,2260,"und",3,624
"node","book",0,2260,2260,"und",4,708
"node","book",0,2260,2260,"und",5,452
"node","book",0,2260,2260,"und",6,676
"node","book",0,2260,2260,"und",7,435
"node","book",0,2262,2262,"und",0,489
"node","book",0,2262,2262,"und",1,434
"node","book",0,2262,2262,"und",2,478
"node","book",0,2262,2262,"und",3,492
"node","book",0,2263,2263,"und",0,565
"node","book",0,2263,2263,"und",1,676
"node","book",0,2264,2264,"und",0,453
"node","book",0,2264,2264,"und",1,434
"node","book",0,2264,2264,"und",2,478
"node","book",0,2265,2265,"und",0,453
"node","book",0,2265,2265,"und",1,478
"node","book",0,2266,2266,"und",0,489
"node","book",0,2266,2266,"und",1,459
"node","book",0,2267,2267,"und",0,489
"node","book",0,2267,2267,"und",1,459
"node","book",0,2268,2268,"und",0,459
"node","book",0,2269,2269,"und",0,639
"node","book",0,2270,2270,"und",0,421
"node","book",0,2270,2270,"und",1,459
"node","book",0,2270,2270,"und",2,422
"node","book",0,2271,2271,"und",0,489
"node","book",0,2271,2271,"und",1,491
"node","book",0,2272,2272,"und",0,459
"node","book",0,2273,2273,"und",0,478
"node","book",0,2274,2274,"und",0,675
"node","book",0,2274,2274,"und",1,586
"node","book",0,2275,2275,"und",0,508
"node","book",0,2276,2276,"und",0,619
"node","book",0,2276,2276,"und",1,623
"node","book",0,2276,2276,"und",2,594
"node","book",0,2276,2276,"und",3,624
"node","book",0,2276,2276,"und",4,620
"node","book",0,2276,2276,"und",5,527
"node","book",0,2276,2276,"und",6,565
"node","book",0,2276,2276,"und",7,528
"node","book",0,2276,2276,"und",8,676
"node","book",0,2276,2276,"und",9,434
"node","book",0,2276,2276,"und",10,715
"node","book",0,2276,2276,"und",11,478
"node","book",0,2277,2277,"und",0,623
"node","book",0,2277,2277,"und",1,594
"node","book",0,2277,2277,"und",2,620
"node","book",0,2277,2277,"und",3,527
"node","book",0,2277,2277,"und",4,565
"node","book",0,2277,2277,"und",5,676
"node","book",0,2277,2277,"und",6,478
"node","book",0,2278,2278,"und",0,691
"node","book",0,2278,2278,"und",1,634
"node","book",0,2278,2278,"und",2,459
"node","book",0,2278,2278,"und",3,478
"node","book",0,2279,2279,"und",0,565
"node","book",0,2279,2279,"und",1,434
"node","book",0,2280,2280,"und",0,594
"node","book",0,2280,2280,"und",1,716
"node","book",0,2280,2280,"und",2,661
"node","book",0,2280,2280,"und",3,620
"node","book",0,2280,2280,"und",4,675
"node","book",0,2280,2280,"und",5,453
"node","book",0,2280,2280,"und",6,676
"node","book",0,2282,2282,"und",0,594
"node","book",0,2282,2282,"und",1,675
"node","book",0,2282,2282,"und",2,586
"node","book",0,2282,2282,"und",3,434
"node","book",0,2282,2282,"und",4,478
"node","book",0,2283,2283,"und",0,434
"node","book",0,2283,2283,"und",1,478
"node","book",0,2284,2284,"und",0,459
"node","book",0,2285,2285,"und",0,675
"node","book",0,2285,2285,"und",1,459
"node","book",0,2285,2285,"und",2,662
"node","book",0,2285,2285,"und",3,453
"node","book",0,2285,2285,"und",4,676
"node","book",0,2285,2285,"und",5,434
"node","book",0,2285,2285,"und",6,478
"node","book",0,2286,2286,"und",0,453
"node","book",0,2286,2286,"und",1,434
"node","book",0,2288,2288,"und",0,453
"node","book",0,2288,2288,"und",1,434
"node","book",0,2289,2289,"und",0,473
"node","book",0,2289,2289,"und",1,453
"node","book",0,2289,2289,"und",2,434
"node","book",0,2289,2289,"und",3,478
"node","book",0,2292,2292,"und",0,459
"node","book",0,2292,2292,"und",1,431
"node","book",0,2293,2293,"und",0,459
"node","book",0,2293,2293,"und",1,528
"node","book",0,2294,2294,"und",0,459
"node","book",0,2295,2295,"und",0,489
"node","book",0,2295,2295,"und",1,518
