"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_book_target_id
"node","mention",0,2988,2988,"und",0,1997
"node","mention",0,2989,2989,"und",0,1997
"node","mention",0,2990,2990,"und",0,1997
"node","mention",0,2991,2991,"und",0,1997
"node","mention",0,2992,2992,"und",0,1997
"node","mention",0,2993,2993,"und",0,1997
"node","mention",0,2994,2994,"und",0,1999
"node","mention",0,2995,2995,"und",0,2001
"node","mention",0,2996,2996,"und",0,2001
"node","mention",0,2997,2997,"und",0,2001
"node","mention",0,2998,2998,"und",0,2002
"node","mention",0,2999,2999,"und",0,2007
"node","mention",0,3000,3000,"und",0,2007
"node","mention",0,3001,3001,"und",0,2006
"node","mention",0,3002,3002,"und",0,2006
"node","mention",0,3003,3003,"und",0,2006
"node","mention",0,3004,3004,"und",0,2006
"node","mention",0,3005,3005,"und",0,2006
"node","mention",0,3006,3006,"und",0,2006
"node","mention",0,3007,3007,"und",0,2006
"node","mention",0,3008,3008,"und",0,2006
"node","mention",0,3009,3009,"und",0,2006
"node","mention",0,3010,3010,"und",0,2006
"node","mention",0,3011,3011,"und",0,2006
"node","mention",0,3012,3012,"und",0,2006
"node","mention",0,3013,3013,"und",0,2006
"node","mention",0,3014,3014,"und",0,2006
"node","mention",0,3015,3015,"und",0,2006
"node","mention",0,3016,3016,"und",0,2006
"node","mention",0,3017,3017,"und",0,2006
"node","mention",0,3018,3018,"und",0,2006
"node","mention",0,3019,3019,"und",0,2006
"node","mention",0,3020,3020,"und",0,2006
"node","mention",0,3021,3021,"und",0,2006
"node","mention",0,3022,3022,"und",0,2006
"node","mention",0,3023,3023,"und",0,2006
"node","mention",0,3024,3024,"und",0,2006
"node","mention",0,3025,3025,"und",0,2006
"node","mention",0,3026,3026,"und",0,2006
"node","mention",0,3027,3027,"und",0,2006
"node","mention",0,3028,3028,"und",0,2006
"node","mention",0,3029,3029,"und",0,2006
"node","mention",0,3030,3030,"und",0,2006
"node","mention",0,3031,3031,"und",0,2006
"node","mention",0,3032,3032,"und",0,2006
"node","mention",0,3033,3033,"und",0,2006
"node","mention",0,3034,3034,"und",0,2006
"node","mention",0,3035,3035,"und",0,2006
"node","mention",0,3036,3036,"und",0,2006
"node","mention",0,3037,3037,"und",0,2006
"node","mention",0,3038,3038,"und",0,2006
"node","mention",0,3039,3039,"und",0,2006
"node","mention",0,3040,3040,"und",0,2006
"node","mention",0,3041,3041,"und",0,2006
"node","mention",0,3042,3042,"und",0,2006
"node","mention",0,3043,3043,"und",0,2006
"node","mention",0,3044,3044,"und",0,2006
