"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,2192,2192,"und",0,"הלאומית העברית R /4= 35 V 4587","filtered_html"
"node","book",0,2193,2193,"und",0,"עותק הספריה הלאומית","filtered_html"
"node","book",0,2195,2195,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2196,2196,"und",0,"עותק באוניברסיטת תל אביב","filtered_html"
"node","book",0,2198,2198,"und",0,"בר-אילן

B46 חבי.דר תקס\"ו","filtered_html"
"node","book",0,2200,2200,"und",0,"224.87=3 
תנך (וול)
Univ. Tel Aviv, Slg. CT","filtered_html"
"node","book",0,2201,2201,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2202,2202,"und",0,"הלאומית העברית
S 23 V 4485","filtered_html"
"node","book",0,2203,2203,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2205,2205,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2206,2206,"und",0,"S 39 A 502","filtered_html"
"node","book",0,2207,2207,"und",0,"עותק בתל אביב","filtered_html"
"node","book",0,2208,2208,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2209,2209,"und",0,"עותק בספריה הלאומית בירושלים","filtered_html"
"node","book",0,2211,2211,"und",0,"S /26 V 842","filtered_html"
"node","book",0,2212,2212,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2213,2213,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2214,2214,"und",0,"עותק בבר אילן (צולמו דפים ראשונים)","filtered_html"
"node","book",0,2215,2215,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2216,2216,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2217,2217,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2218,2218,"und",0,"ספריית תל אביב:

879.1 שלר אוסף יפה","filtered_html"
"node","book",0,2219,2219,"und",0,"ספריית אוניברסיטת תל אביב, מהלמן

892.4116עמנ","filtered_html"
"node","book",0,2220,2220,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2221,2221,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2222,2222,"und",0,"לאומית: 

R 16496","filtered_html"
"node","book",0,2223,2223,"und",0,"לאומית:
R 16496","filtered_html"
"node","book",0,2224,2224,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2225,2225,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2226,2226,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2227,2227,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2228,2228,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2229,2229,"und",0,"לאומית:

R 16496","filtered_html"
"node","book",0,2230,2230,"und",0,"ת\"א מהלמן:

892.412 כהן","filtered_html"
"node","book",0,2231,2231,"und",0,"23 V 8979","filtered_html"
"node","book",0,2233,2233,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2234,2234,"und",0,"עותק באוניברסיטת תל אביב","filtered_html"
"node","book",0,2235,2235,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2236,2236,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2237,2237,"und",0,"לאומית S /31 V 4122","filtered_html"
"node","book",0,2238,2238,"und",0,"עותק בספריה הלאומית (צילום).","filtered_html"
"node","book",0,2239,2239,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2240,2240,"und",0,"עותק בספריה הלאומית - עותק צילום (לכן לא צוין גודל)","filtered_html"
"node","book",0,2241,2241,"und",0,"הלאומית העברית 
S 29 V 1390","filtered_html"
"node","book",0,2242,2242,"und",0,"עותק בספרית בר אילן.","filtered_html"
"node","book",0,2243,2243,"und",0,"ספריית אוניברסיטת תל אביב 892.412 כהן","filtered_html"
"node","book",0,2245,2245,"und",0,"ספריית אוניברסיטת תל אביב: 892.48 סטנ (359242);  (גדלים על פי עותק בתל אביב מהלמן: 892.48סטנ)","filtered_html"
"node","book",0,2246,2246,"und",0,"892.48 סטנ","filtered_html"
"node","book",0,2248,2248,"und",0,"ספריית אוניברסיטת בר-אילן: 

A124 נבו.יל תקמ\"ט","filtered_html"
"node","book",0,2251,2251,"und",0,"לאומית:

96 L 121","filtered_html"
"node","book",0,2252,2252,"und",0,"אוניברסיטת תל אביב, מהלמן:
תפל  296.31531","filtered_html"
"node","book",0,2253,2253,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2254,2254,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2255,2255,"und",0,"הספרייה הלאומית העברית
FI 10376(Po+Ne)","filtered_html"
"node","book",0,2256,2256,"und",0,"B450.9 מרג.אג תקנ\"ו - מיוחדים S

S 25 V 13470כותרת הספר הושלמה מן הספר שלאומית, כי בבר-אילן היא פגומה.","filtered_html"
"node","book",0,2258,2258,"und",0,"לאומית R 0= 23 V 4461","filtered_html"
"node","book",0,2259,2259,"und",0,"לאומית S 35 v54(עותק שני)","filtered_html"
"node","book",0,2260,2260,"und",0,"בר אילן:

A95 מרג.או תקמ\"ג MIC","filtered_html"
"node","book",0,2261,2261,"und",0,"ספריית אוניברסיטת תל אביב, מהלמן

296.41 יהו","filtered_html"
"node","book",0,2262,2262,"und",0,"הלאומית העברית 
S 40 A 148","filtered_html"
