"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_huji_library_id_value","field_huji_library_id_format"
"node","book",0,2318,2318,"und",0,"S 59 A 4532",NULL
"node","book",0,2319,2319,"und",0,"S 26 V 170",NULL
"node","book",0,2320,2320,"und",0,"R /8= 54 A 2347",NULL
"node","book",0,2321,2321,"und",0,"S 22 V 10152",NULL
"node","book",0,2322,2322,"und",0,"R 68 A 1547",NULL
"node","book",0,2324,2324,"und",0,"R 8= 23 V 14359",NULL
"node","book",0,2325,2325,"und",0,"S 25 V 13951",NULL
"node","book",0,2326,2326,"und",0,"S 56 A 936",NULL
"node","book",0,2327,2327,"und",0,"S 56 A 936",NULL
"node","book",0,2328,2328,"und",0,"S 59 A 4969",NULL
"node","book",0,2329,2329,"und",0,"S 59 A 4969",NULL
"node","book",0,2330,2330,"und",0,"S 56 A 936",NULL
"node","book",0,2331,2331,"und",0,"S 56 A 936",NULL
"node","book",0,2332,2332,"und",0,"S 56 A 936 a 6",NULL
"node","book",0,2334,2334,"und",0,"S 56 A 936",NULL
"node","book",0,2335,2335,"und",0,"S 56 A 936",NULL
"node","book",0,2336,2336,"und",0,"S 22 V 5035",NULL
"node","book",0,2337,2337,"und",0,"25V14362",NULL
"node","book",0,2338,2338,"und",0,"S 36 A 2240",NULL
"node","book",0,2339,2339,"und",0,"R 69 A 2149",NULL
"node","book",0,2343,2343,"und",0,"R 8= 35 V 3846",NULL
"node","book",0,2344,2344,"und",0,"R8=54A1995",NULL
"node","book",0,2345,2345,"und",0,"R 8= 35 V 1758",NULL
"node","book",0,2346,2346,"und",0,"SR 31 V 619, R 0= 31 V 619, R6563-Shalom",NULL
"node","book",0,2347,2347,"und",0,"S 22 V 3993",NULL
"node","book",0,2348,2348,"und",0,"S 22 V 3993",NULL
"node","book",0,2349,2349,"und",0,"S 22 V 3993",NULL
"node","book",0,2350,2350,"und",0,"S 22 V 3993",NULL
"node","book",0,2351,2351,"und",0,"S 22 V 3993",NULL
"node","book",0,2352,2352,"und",0,"S 23 V 4815",NULL
"node","book",0,2353,2353,"und",0,"R 8= 35 V 4235",NULL
