"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pages_number_value","field_pages_number_format"
"node","book",0,2265,2265,"und",0,"[6] כו' ד' [4]",NULL
"node","book",0,2266,2266,"und",0,"20 ע'",NULL
"node","book",0,2269,2269,"und",0,"[3]עמ' סב'  דפים [2] ד'",NULL
"node","book",0,2270,2270,"und",0,"עב ד'",NULL
"node","book",0,2271,2271,"und",0,"פג ד'",NULL
"node","book",0,2272,2272,"und",0,"[2] ע', 39, [19] ד’",NULL
"node","book",0,2273,2273,"und",0,"30, 2 ד'",NULL
"node","book",0,2274,2274,"und",0,"יד' ד' [1]",NULL
"node","book",0,2275,2275,"und",0,"כ ד' כולל שער",NULL
"node","book",0,2276,2276,"und",0,"קכח' דפים, [1] עמ'",NULL
"node","book",0,2277,2277,"und",0,"[3 עמ'] קד' ד' [1 עמ']",NULL
"node","book",0,2278,2278,"und",0,"[6], נא-נח דף (לפי Bibliography of the Hebrew Book)",NULL
"node","book",0,2279,2279,"und",0,"א'-ו', [ז'-ח'] +[1] עמ'",NULL
"node","book",0,2280,2280,"und",0,"ב'-יא' דפים, סח ד',  [5] עמ' + 2 דפי איורים המודבקים בסוף",NULL
"node","book",0,2281,2281,"und",0,"[39] ע’",NULL
"node","book",0,2282,2282,"und",0,"[2] עמ', קד ד'",NULL
"node","book",0,2283,2283,"und",0,"[2], קסח ד' כולל שער",NULL
"node","book",0,2284,2284,"und",0,"[16] ד' כולל שער",NULL
"node","book",0,2285,2285,"und",0,"קלז' ד' , [1] עמ'",NULL
"node","book",0,2286,2286,"und",0,"[21 ]ע' א-עו עמ'",NULL
"node","book",0,2287,2287,"und",0,"[13] ע' קט ד'",NULL
"node","book",0,2288,2288,"und",0,"[2 ]ע', קנא' [1 ] ע'",NULL
"node","book",0,2289,2289,"und",0,"[4], עה ד' [ללא עמ' א']",NULL
"node","book",0,2290,2290,"und",0,"[3] סא' עמ'",NULL
"node","book",0,2291,2291,"und",0,"[3] סא' עמ'",NULL
"node","book",0,2293,2293,"und",0,"[7], סו, [2] ד' כולל שער",NULL
"node","book",0,2294,2294,"und",0,"יח ד'",NULL
"node","book",0,2295,2295,"und",0,"[8] ע'",NULL
"node","book",0,2296,2296,"und",0,"[10] ע', נז ד'",NULL
"node","book",0,2297,2297,"und",0,"[8] ע',",NULL
"node","book",0,2298,2298,"und",0,"[2] ע', נח ד', [8] ע'",NULL
"node","book",0,2299,2299,"und",0,"[12] ע', מז ד', [2] ע'",NULL
