"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,field_secondary_textual_models_tid
"node","book",0,2345,2345,"und",1,369
"node","book",0,2345,2345,"und",2,380
"node","book",0,2345,2345,"und",3,383
"node","book",0,2345,2345,"und",4,387
"node","book",0,2348,2348,"und",0,351
"node","book",0,2354,2354,"und",0,351
"node","book",0,2354,2354,"und",1,357
"node","book",0,2354,2354,"und",2,380
"node","book",0,2357,2357,"und",0,351
"node","book",0,2358,2358,"und",0,335
"node","book",0,2362,2362,"und",0,342
"node","book",0,2363,2363,"und",0,380
"node","book",0,2363,2363,"und",1,382
"node","book",0,2364,2364,"und",0,336
"node","book",0,2366,2366,"und",0,366
"node","book",0,2366,2366,"und",1,369
"node","book",0,2369,2369,"und",0,387
"node","book",0,2370,2370,"und",0,351
"node","book",0,2371,2371,"und",0,336
"node","book",0,2373,2373,"und",0,324
"node","book",0,2374,2374,"und",0,336
"node","book",0,2375,2375,"und",0,332
"node","book",0,2375,2375,"und",1,334
"node","book",0,2376,2376,"und",0,380
"node","book",0,2376,2376,"und",1,381
"node","book",0,2376,2376,"und",2,382
"node","book",0,2376,2376,"und",3,383
"node","book",0,2379,2379,"und",0,325
"node","book",0,2381,2381,"und",0,366
"node","book",0,2381,2381,"und",1,368
"node","book",0,2384,2384,"und",0,335
"node","book",0,2384,2384,"und",1,387
"node","book",0,2387,2387,"und",0,380
"node","book",0,2387,2387,"und",1,381
"node","book",0,2387,2387,"und",2,382
"node","book",0,2387,2387,"und",3,383
"node","book",0,2387,2387,"und",4,384
"node","book",0,2388,2388,"und",0,377
"node","book",0,2388,2388,"und",1,379
"node","book",0,2389,2389,"und",0,377
"node","book",0,2389,2389,"und",1,379
"node","book",0,2390,2390,"und",0,376
"node","book",0,2395,2395,"und",0,331
"node","book",0,2395,2395,"und",1,343
"node","book",0,2395,2395,"und",2,345
"node","book",0,2401,2401,"und",0,336
"node","book",0,2402,2402,"und",0,336
"node","book",0,2403,2403,"und",0,324
"node","book",0,2404,2404,"und",0,351
"node","book",0,2404,2404,"und",1,355
"node","book",0,2404,2404,"und",2,359
"node","book",0,2407,2407,"und",0,351
"node","book",0,2407,2407,"und",1,358
"node","book",0,2410,2410,"und",0,341
"node","book",0,2413,2413,"und",0,351
"node","book",0,2413,2413,"und",1,355
"node","book",0,2415,2415,"und",0,359
"node","book",0,2416,2416,"und",0,336
"node","book",0,2417,2417,"und",0,351
"node","book",0,2417,2417,"und",1,357
"node","book",0,2418,2418,"und",0,380
"node","book",0,2418,2418,"und",1,382
"node","book",0,2420,2420,"und",0,377
"node","book",0,2420,2420,"und",1,379
"node","book",0,2421,2421,"und",0,380
"node","book",0,2421,2421,"und",1,381
"node","book",0,2421,2421,"und",2,382
"node","book",0,2421,2421,"und",3,383
"node","book",0,2421,2421,"und",4,384
"node","book",0,2422,2422,"und",0,380
"node","book",0,2422,2422,"und",1,381
"node","book",0,2422,2422,"und",2,382
"node","book",0,2422,2422,"und",3,383
"node","book",0,2422,2422,"und",4,384
"node","book",0,2424,2424,"und",0,359
"node","book",0,2425,2425,"und",0,351
"node","book",0,2431,2431,"und",0,320
"node","book",0,2431,2431,"und",1,321
"node","book",0,2431,2431,"und",2,331
"node","book",0,2440,2440,"und",0,366
"node","book",0,2440,2440,"und",1,370
"node","book",0,2443,2443,"und",0,351
"node","book",0,2443,2443,"und",1,355
"node","book",0,2444,2444,"und",0,351
"node","book",0,2444,2444,"und",1,355
"node","book",0,2444,2444,"und",2,366
"node","book",0,2444,2444,"und",3,370
"node","book",0,2450,2450,"und",0,351
"node","book",0,2450,2450,"und",1,355
"node","book",0,2450,2450,"und",2,366
"node","book",0,2450,2450,"und",3,370
"node","book",0,2450,2450,"und",4,372
"node","book",0,2451,2451,"und",0,351
"node","book",0,2455,2455,"und",0,325
"node","book",0,2455,2455,"und",1,326
"node","book",0,2455,2455,"und",2,327
"node","book",0,2455,2455,"und",3,351
"node","book",0,2466,2466,"und",0,341
"node","book",0,2467,2467,"und",0,351
"node","book",0,2472,2472,"und",0,342
"node","book",0,2473,2473,"und",0,332
"node","book",0,2474,2474,"und",0,351
"node","book",0,2474,2474,"und",1,357
"node","book",0,2475,2475,"und",0,351
"node","book",0,2475,2475,"und",1,357
"node","book",0,2476,2476,"und",0,351
"node","book",0,2476,2476,"und",1,357
"node","book",0,2478,2478,"und",0,351
"node","book",0,2478,2478,"und",1,357
