menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
user-menu,237,0,admin/structure/taxonomy/series/add,admin/structure/taxonomy/%/add,Add a book series,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:63:""user-menu_add-a-book-series:admin/structure/taxonomy/series/add"";}'",menu,0,0,0,0,0,1,1,237,0,0,0,0,0,0,0,0,0
menu-top-menu,238,0,search,search,search,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:27:""menu-top-menu_search:search"";}'",menu,0,0,0,0,0,1,1,238,0,0,0,0,0,0,0,0,0
menu-top-menu,239,0,places,places,PLACES,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:27:""menu-top-menu_places:places"";}'",menu,0,0,0,0,0,1,1,239,0,0,0,0,0,0,0,0,0
user-menu,240,0,node/add/book,node/add,Add a book,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:34:""user-menu_add-a-book:node/add/book"";}'",menu,0,0,0,0,0,1,1,240,0,0,0,0,0,0,0,0,0
user-menu,241,0,node/add/person,node/add,Add a person,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:38:""user-menu_add-a-person:node/add/person"";}'",menu,0,0,0,0,0,1,1,241,0,0,0,0,0,0,0,0,0
user-menu,242,0,user/login,user/login,LOGIN,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:26:""user-menu_login:user/login"";}'",menu,0,0,0,0,0,1,1,242,0,0,0,0,0,0,0,0,0
menu-top-menu,243,0,people,people,PEOPLE,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:27:""menu-top-menu_people:people"";}'",menu,0,0,0,0,0,1,1,243,0,0,0,0,0,0,0,0,0
menu-top-menu,244,0,digital-books,digital-books,DIGITAL BOOKS,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:41:""menu-top-menu_digital-books:digital-books"";}'",menu,0,0,0,0,0,1,1,244,0,0,0,0,0,0,0,0,0
menu-icons-menu,245,0,books,books,Books,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:27:""menu-icons-menu_books:books"";}'",menu,0,0,0,0,0,1,1,245,0,0,0,0,0,0,0,0,0
menu-bottom-menu,246,0,<front>,,Add a person,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:37:""menu-bottom-menu_add-a-person:<front>"";}'",menu,0,1,0,0,0,1,1,246,0,0,0,0,0,0,0,0,0
menu-bottom-menu,247,0,<front>,,Add a book,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:35:""menu-bottom-menu_add-a-book:<front>"";}'",menu,0,1,0,0,0,1,1,247,0,0,0,0,0,0,0,0,0
menu-icons-menu,248,0,digital-books,digital-books,Digital Books,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:43:""menu-icons-menu_digital-books:digital-books"";}'",menu,0,0,0,0,0,1,1,248,0,0,0,0,0,0,0,0,0
menu-icons-menu,249,0,people,people,People,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:29:""menu-icons-menu_people:people"";}'",menu,0,0,0,0,0,1,1,249,0,0,0,0,0,0,0,0,0
menu-top-menu,250,0,books,books,BOOKS,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:25:""menu-top-menu_books:books"";}'",menu,0,0,0,0,0,1,1,250,0,0,0,0,0,0,0,0,0
menu-icons-menu,251,0,places,places,Places,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:29:""menu-icons-menu_places:places"";}'",menu,0,0,0,0,0,1,1,251,0,0,0,0,0,0,0,0,0
menu-bottom-menu,252,0,<front>,,Add a book series,"b'a:2:{s:10:""attributes"";a:1:{s:5:""title"";s:0:"""";}s:10:""identifier"";s:42:""menu-bottom-menu_add-a-book-series:<front>"";}'",menu,0,1,0,0,0,1,1,252,0,0,0,0,0,0,0,0,0
navigation,253,0,search,search,Haskala,b'a:0:{}',system,1,0,0,0,0,1,0,253,0,0,0,0,0,0,0,0,0
navigation,254,5,node/add/book,node/add/book,Book,b'a:0:{}',system,0,0,0,0,0,2,0,5,254,0,0,0,0,0,0,0,0
navigation,255,5,node/add/edition,node/add/edition,Edition,b'a:0:{}',system,0,0,0,0,0,2,0,5,255,0,0,0,0,0,0,0,0
navigation,256,5,node/add/mention,node/add/mention,Mention,b'a:0:{}',system,0,0,0,0,0,2,0,5,256,0,0,0,0,0,0,0,0
navigation,257,5,node/add/page-element,node/add/page-element,Page Element,b'a:0:{}',system,0,0,0,0,0,2,0,5,257,0,0,0,0,0,0,0,0
navigation,258,5,node/add/person,node/add/person,Person,b'a:0:{}',system,0,0,0,0,0,2,0,5,258,0,0,0,0,0,0,0,0
navigation,259,5,node/add/production,node/add/production,Person Production Details,b'a:0:{}',system,0,0,0,0,0,2,0,5,259,0,0,0,0,0,0,0,0
navigation,260,5,node/add/preface,node/add/preface,Preface,b'a:0:{}',system,0,0,0,0,0,2,0,5,260,0,0,0,0,0,0,0,0
navigation,261,5,node/add/translation,node/add/translation,Translation,b'a:0:{}',system,0,0,0,0,0,2,0,5,261,0,0,0,0,0,0,0,0
management,262,157,admin/help/ip_geoloc,admin/help/ip_geoloc,ip_geoloc,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,262,0,0,0,0,0,0,0
management,263,157,admin/help/jquery_update,admin/help/jquery_update,jquery_update,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,263,0,0,0,0,0,0,0
management,264,157,admin/help/metatag,admin/help/metatag,metatag,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,264,0,0,0,0,0,0,0
management,265,157,admin/help/pathauto,admin/help/pathauto,pathauto,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,265,0,0,0,0,0,0,0
management,266,157,admin/help/rdf,admin/help/rdf,rdf,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,266,0,0,0,0,0,0,0
management,267,157,admin/help/search_api,admin/help/search_api,search_api,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,267,0,0,0,0,0,0,0
management,268,157,admin/help/search_api_solr,admin/help/search_api_solr,search_api_solr,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,268,0,0,0,0,0,0,0
management,269,157,admin/help/token,admin/help/token,token,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,269,0,0,0,0,0,0,0
management,270,157,admin/help/xmlsitemap,admin/help/xmlsitemap,xmlsitemap,b'a:0:{}',system,-1,0,0,0,0,3,0,1,157,270,0,0,0,0,0,0,0
management,271,18,admin/content/mentions,admin/content/mentions,Mentions,b'a:0:{}',system,-1,0,0,0,0,3,0,1,18,271,0,0,0,0,0,0,0
management,272,46,admin/config/system/ip_geoloc,admin/config/system/ip_geoloc,IP Geolocation Views & Maps,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:65:""Configure map markers and how geolocation information is updated."";}}'",system,0,0,0,0,0,4,0,1,7,46,272,0,0,0,0,0,0
