nid,vid,type,title,status,created,changed,uid,book_target_id,edition_changes,edition_changes_format,edition_city_tid,edition_references,edition_references_format,edition_year,edition_year_format
2617,2617,edition,מלוכת שאול - 1906,1,1428490248,1428490248,1,2234,,,127.0,"ורסס, המחזה מלוכת שאול, עמ' 61.
(השוו: שקד, מבוא, עמ' 7. שקד גורס כי היו ""שלוש-עשרה (או שמונה) מהדורות עבריות"".)",,1906,
2618,2618,edition,משא בערב - תקנב,1,1428490248,1428490248,1,2242,,,14.0,"קלוזנר, וינוגרד",,תקנב,
2619,2619,edition,משא בערב - 1834,1,1428490248,1428490248,1,2242,,,273.0,"קלוזנר, וינוגרד",,1834,
2620,2620,edition,משא בערב - תקצה,1,1428490248,1428490248,1,2242,"לפי קלוזנר, א', עמ' 315, המהדורה השלישית יצאה בהשמטות של הצנזורה הרוסית.",,274.0,"קלוזנר, וינוגרד",,תקצה,
2621,2621,edition,משא בערב - תרח,1,1428490248,1428490248,1,2242,,,276.0,"קלוזנר, וינוגרד",,תרח,
2622,2622,edition,משא בערב - תריד,1,1428490248,1428490248,1,2242,,,276.0,"קלוזנר, וינוגרד",,תריד,
2623,2623,edition,משא בערב - 1886,1,1428490248,1428490248,1,2242,עברית ותרגום אנגלי,,41.0,"קלוזנר, וינוגרד",,1886,
2624,2624,edition,משא בערב - תרפו,1,1428490248,1428490248,1,2242,,,276.0,"קלוזנר, וינוגרד",,תרפו,
2625,2625,edition,משלי אגור א - 1799,1,1428490248,1428490248,1,2243,,,14.0,IUL,,1799,
2626,2626,edition,משלי אסף א - 1789,1,1428490248,1428490248,1,2245,,,14.0,IUL,,1789,
2627,2627,edition,"משלי אסף ב - תקנ""ב",1,1428490248,1428490248,1,2246,,,14.0,IUL,,"תקנ""ב",
2628,2628,edition,"סדר הגדה על פסח - תקמ""ה",1,1428490248,1428490248,1,2250,,,14.0,"יודלוב, אוצר ההגדות",,"תקמ""ה",
2629,2629,edition,"סדר הגדה על פסח - תקמ""ו",1,1428490248,1428490248,1,2250,"[יודלוב, עמ' 29, מציין כי היו למעשה 3 הדפסות שונות בפיורדא באותה שנה] [יערי מוסיף כאן: לא קיימת מהדורת ברלין, תקמ""ו, כפי שרשום אצל ווינער, מס' 154]",,76.0,"יודלוב, אוצר ההגדות",,"תקמ""ו",
2630,2630,edition,"סדר הגדה על פסח - תקנ""א",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקנ""א",
2631,2631,edition,"סדר הגדה על פסח - תקנ""ב",1,1428490248,1428490248,1,2250,,,249.0,"יודלוב, אוצר ההגדות",,"תקנ""ב",
2632,2632,edition,"סדר הגדה על פסח - תקנ""ה",1,1428490248,1428490248,1,2250,[לפי יודלוב: 3 הדפסות],,187.0,"יודלוב, אוצר ההגדות",,"תקנ""ה",
2633,2633,edition,"סדר הגדה על פסח - תקנ""ה",1,1428490248,1428490248,1,2250,,,14.0,"יודלוב, אוצר ההגדות",,"תקנ""ה",
2634,2634,edition,סדר הגדה על פסח - 1795,1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,1795,
2635,2635,edition,"סדר הגדה על פסח - תקנ""ז",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקנ""ז",
2636,2636,edition,"סדר הגדה על פסח - תקנ""ח",1,1428490248,1428490248,1,2250,"[יודלוב מציין 2 מהדורות שונות, אצל שתי הוצאות לאור שונות]",,273.0,"יודלוב, אוצר ההגדות",,"תקנ""ח",
2637,2637,edition,"סדר הגדה על פסח - תק""ס",1,1428490248,1428490248,1,2250,[18 (!) הדפסות],,187.0,"יודלוב, אוצר ההגדות",,"תק""ס",
2638,2638,edition,"סדר הגדה על פסח - תקס""ג",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקס""ג",
2639,2639,edition,"סדר הגדה על פסח - תקס""ד",1,1428490248,1428490248,1,2250,[שלוש הדפסות],,76.0,"יודלוב, אוצר ההגדות",,"תקס""ד",
2640,2640,edition,"סדר הגדה על פסח - תקס""ה",1,1428490248,1428490248,1,2250,,,187.0,"יודלוב, אוצר ההגדות",,"תקס""ה",
2641,2641,edition,"סדר הגדה על פסח - תקס""ו",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקס""ו",
2642,2642,edition,"סדר הגדה על פסח - תקס""ח",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקס""ח",
2643,2643,edition,"סדר הגדה על פסח - תק""ע",1,1428490248,1428490248,1,2250,"בסוף הכותרת הארוכה נכתב: ""עם תרגום אשכנזי מן ר' יואל ברי""ל ור' דוד פרידלענדר..."", אף שלא היה לפרידלנדר כל חלק בתרגום",,3.0,"יודלוב, אוצר ההגדות",,"תק""ע",
2644,2644,edition,"סדר הגדה על פסח - תק""ע",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תק""ע",
2645,2645,edition,"סדר הגדה על פסח - תקע""ב",1,1428490248,1428490248,1,2250,,,273.0,"יודלוב, אוצר ההגדות",,"תקע""ב",
2646,2646,edition,"סדר הגדה על פסח - תקע""ה",1,1428490248,1428490248,1,2250,,,273.0,"[וינוגרד: אינו מזכיר את המהדורה המקורית משנת תקמ""ה. רק מהדורת וינה, תקע""ה, ומנדלסון כמתרגם.]

יודלוב, אוצר ההגדות",,"תקע""ה",
2647,2647,edition,"סדר הגדה על פסח - תקע""ה",1,1428490248,1428490248,1,2250,,,305.0,"יודלוב, אוצר ההגדות",,"תקע""ה",
2648,2648,edition,"סדר הגדה על פסח - תקע""ב",1,1428490248,1428490248,1,2250,,,11.0,"יודלוב, אוצר ההגדות",,"תקע""ב",
2649,2649,edition,"סדר הגדה על פסח - תקע""ז",1,1428490248,1428490248,1,2250,[2 הדפסות],,305.0,"יודלוב, אוצר ההגדות",,"תקע""ז",
2650,2650,edition,"סדר הגדה על פסח - תקע""ט",1,1428490248,1428490248,1,2250,,,294.0,"יודלוב, אוצר ההגדות",,"תקע""ט",
2651,2651,edition,"סדר הגדה על פסח - תקפ""ה",1,1428490248,1428490248,1,2250,,,1.0,"יודלוב, אוצר ההגדות",,"תקפ""ה",
2652,2652,edition,"סדר הגדה על פסח - תקצ""ד",1,1428490248,1428490248,1,2250,,,249.0,"יודלוב, אוצר ההגדות",,"תקצ""ד",
2653,2653,edition,סדר הגדה על פסח - 1851,1,1428490248,1428490248,1,2250,,,294.0,"יודלוב, אוצר ההגדות",,1851,
2654,2654,edition,"סלת מנחה בלולה - תקנ""ז",1,1428490248,1428490248,1,2255,,,1.0,קטלוג הספרייה הלאומית,,"תקנ""ז",
2655,2655,edition,סלת מנחה בלולה - 1995,1,1428490248,1428490248,1,2255,(ש' שפרכר),,33.0,קטלוג הספרייה הלאומית,,1995,
2656,2656,edition,"ספר אגרת הקדש - תקנ""ג",1,1428490248,1428490248,1,2258,"יצחק סטנוב תקנ""ג (ראו בהרחבה באצבע כאן)",,,,,"תקנ""ג",
2657,2657,edition,"ספר אגרת הקדש - תקנ""ו",1,1428490248,1428490248,1,2258,"גרשון בן אליעזר (הוראדני, תקנ""ו)",,83.0,,,"תקנ""ו",
2658,2658,edition,ספר דניאל - 1808,1,1428490248,1428490248,1,2271,,,54.0,וינוגרד,,1808,
2659,2659,edition,"ספר הברית א - תקע""ח",1,1428490248,1428490248,1,2276,מהדורה מתוקנת,,,,,"תקע""ח",
2660,2660,edition,"ספר הברית א - תש""ן",1,1428490248,1428490248,1,2276,,,105.0,,,"תש""ן",
2661,2661,edition,"ספר הגדרים - תקנ""ח",1,1428490248,1428490248,1,2277,,,14.0,,,"תקנ""ח",
2662,2662,edition,"ספר המדות א - תקמ""ו - תקמ""ו",1,1428490248,1428490248,1,2287,,,14.0,וינוגרד,,"תקמ""ו",
2663,2663,edition,"ספר המדות א - תקמ""ו - תקמ""ח",1,1428490248,1428490248,1,2287,,,14.0,וינוגרד,,"תקמ""ח",
2664,2664,edition,"ספר המדות א - תקמ""ו - 1818",1,1428490248,1428490248,1,2287,,,140.0,וינוגרד,,1818,
2665,2665,edition,"ספר המדות א - תקמ""ו - תקע""ט",1,1428490248,1428490248,1,2287,,,274.0,וינוגרד,,"תקע""ט",
2666,2666,edition,"ספר המדות א - תקמ""ו - תקפ""ה",1,1428490248,1428490248,1,2287,,,140.0,וינוגרד,,"תקפ""ה",
2667,2667,edition,"ספר המדות א - תקמ""ו - תרי""א",1,1428490248,1428490248,1,2287,,,121.0,וינוגרד,,"תרי""א",
2668,2668,edition,"ספר המדות א - תקמ""ו - 1856",1,1428490248,1428490248,1,2287,,,140.0,וינוגרד,,1856,
2669,2669,edition,"ספר המדות א - תקמ""ו - תרי""ח",1,1428490248,1428490248,1,2287,,,121.0,וינוגרד,,"תרי""ח",
2670,2670,edition,"ספר המדות א - תקמ""ו - תשס""ב",1,1428490248,1428490248,1,2287,"במהדורת 2002, הספר הופך לחלק ממדף הספרים הרבני. (ראו אצבע בחלון זה.)",,105.0,וינוגרד,,"תשס""ב",
2671,2671,edition,ספר השרשים א - 1787,1,1428490248,1428490248,1,2290,,,14.0,"עותק בספרייה הלאומית,עותק בספרייה הלאומית",,1787,
2672,2672,edition,ספר השרשים א - 1803,1,1428490248,1428490248,1,2290,"Samson Hamburger, Joseph Bamberger,Samson Hamburger, Joseph Bamberger",,204.0,"עותק בספרייה הלאומית,עותק בספרייה הלאומית",,1803,
2673,2673,edition,ספר ויעתר יצחק - 1784,1,1428490248,1428490248,1,2292,,,14.0,,,1784,
2674,2674,edition,ספר ויעתר יצחק - 1815,1,1428490248,1428490248,1,2292,"(יש עותק של מהדורה זו באוניברסיטת תל אביב: מהלמן, 492.45 סטנ)",,273.0,,,1815,
2675,2675,edition,"ספר ויעתר יצחק - תשמ""ה",1,1428490248,1428490248,1,2292,,,179.0,,,"תשמ""ה",
2676,2676,edition,"ספר זמירות ישראל א - תקמ""ה",1,1428490248,1428490248,1,2295,,,14.0,IUL,,"תקמ""ה",
2677,2677,edition,ספר זמירות ישראל א - 1800,1,1428490248,1428490248,1,2295,,,273.0,IUL,,1800,
2678,2678,edition,ספר זמירות ישראל א - 1804,1,1428490248,1428490248,1,2295,,,76.0,IUL,,1804,
2679,2679,edition,ספר זמירות ישראל א - 1808,1,1428490248,1428490248,1,2295,,,273.0,IUL,,1808,
2680,2680,edition,ספר זמירות ישראל א - 1817,1,1428490248,1428490248,1,2295,,,273.0,IUL,,1817,
2681,2681,edition,ספר זמירות ישראל א - 1819,1,1428490248,1428490248,1,2295,,,28.0,IUL,,1819,
2682,2682,edition,ספר זמירות ישראל א - 1825,1,1428490248,1428490248,1,2295,,,295.0,IUL,,1825,
2683,2683,edition,ספר זמירות ישראל א - 1863,1,1428490248,1428490248,1,2295,,,193.0,IUL,,1863,
2684,2684,edition,"ספר חק לישראל - תרי""ט",1,1428490248,1428490248,1,2303,,,206.0,וינוגרד,,"תרי""ט",
