nid,vid,type,title,status,created,changed,uid,name_in_book,name_in_book_format,person_name_appear,producer_target_id,role_tid
4819,4819,production,אנונימי - Schreiben eines deutschen Juden an den amerikanischen Präsidenten O. - Author,1,1428490312,1428490312,1,,,,690,402.0
4820,4820,production,"Pereire, Jacob Rodrigues - Seconde lettre circulaire en defense des Juifs Portugais - Author",1,1428490312,1428490312,1,,,,396,402.0
4821,4821,production,"Schott, Benedict - Sendschreiben an meine Brüder die Israeliten in Westfalen die Errichtung eines jüdischen Consistoriu - Author",1,1428490312,1428490312,1,,,,431,402.0
4822,4822,production,"Friedländer, David - פרידלענדר, דוד - Sendschreiben an Seine Hochwürden Herrn Oberconsistorialrath und Probst Teller - Author",1,1428490312,1428490312,1,,,,140,402.0
4823,4823,production,"אנונימי - Statuten der neuen Beerdigungs-Anstalt der Jüdischen Nation in Hamburg - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,690,402.0
4824,4824,production,"Lesczinski, Elasar - לשצ'ינסקי, אלעזר - Trauer-Gedicht auf den Tod Ihrer Majestät der hochverewigten regierenden Königin Luise Auguste Wilhe - Author",1,1428490312,1428490312,1,,,,315,402.0
4825,4825,production,"Wessely, Hartwig - וייזל, נפתלי הרץ - Trauerrede über das Ableben des weisesten Monarchen ... Friedrich des Zweiten - Author",1,1428490312,1428490312,1,,,,480,402.0
4826,4826,production,"Bendavid, Lazarus - בנדוד, לצרוס - Trauerrede über das Ableben des weisesten Monarchen ... Friedrich des Zweiten - Translator",1,1428490312,1428490312,1,,,,45,403.0
4827,4827,production,"Philipson, Moses - פיליפסון, משה - Über die Verbesserung des Judeneids - Author",1,1428490312,1428490312,1,,,,399,402.0
4828,4828,production,"Davidson, Wolf - דוידזון, וולף - Ueber die bürgerliche Verbesserung der Juden - Author",1,1428490312,1428490312,1,,,,93,402.0
4829,4829,production,"Bendavid, Lazarus - בנדוד, לצרוס - Ueber die Religion der Ebräer vor Moses - Author",1,1428490312,1428490312,1,,,,45,402.0
4830,4830,production,"Henle, Elkan - Ueber die Verbesserung des Judenthums - Author",1,1428490312,1428490312,1,,,,209,402.0
4831,4831,production,"Henle, Elkan - Ueber die Verfassung der Juden im Königreiche Baiern und die Verbesserung derselben zum Nutzen des S - Author",1,1428490312,1428490312,1,,,,209,402.0
4832,4832,production,"Friedländer, David - פרידלענדר, דוד - Ueber die, durch die neue Organisation der Judenschaften in den Preußischen Staaten nothwendig gewor - Author",1,1428490312,1428490312,1,,,,140,402.0
4833,4833,production,"Höchheimer, Simon - הכהיימר, שמעון - Ueber Moses Mendelsohns Tod - Author",1,1428490312,1428490312,1,,,,225,402.0
4834,4834,production,"Jacobson, Israel - יאקאבזאהן, איזראעל - Unterthänigste Vorstellung an Seine Hoheit den Fürst Primas der Rheinischen Konföderation über Höchs - Author",1,1428490312,1428490312,1,,,,255,402.0
4835,4835,production,"Alexander, Isaak - אלכסנדר, יצחק - Verein! der Mosaischen Geseze mit dem Talmud in zwey Abhandlungen - Author",1,1428490312,1428490312,1,,,,14,402.0
4836,4836,production,"Homberg, Herz - הרץ, הומברג - Verteidigung der jüdischen Nation gegen die in den Provinzialblättern enthaltenen Angriffe - ",1,1428490312,1428490312,1,,,,226,
4837,4837,production,"Alexander, Isaak - אלכסנדר, יצחק - Von dem Daseyn Gottes die selbst redende Vernunft - Author",1,1428490312,1428490312,1,,,,14,402.0
4838,4838,production,"Wolf, Elcan Isaac - וולף, אלקן יצחק - Von den Krankheiten der Juden - Author",1,1428490312,1428490312,1,,,,488,402.0
4839,4839,production,"Alexander, Isaak - אלכסנדר, יצחק - Wahrheiten zur göttlichen Weisheit - Author",1,1428490312,1428490312,1,,,,14,402.0
4840,4840,production,"Wessely, Hartwig - וייזל, נפתלי הרץ - Worte der Wahrheit und des Friedens an die gesammte jüdische Nation - Author",1,1428490312,1428490312,1,,,,480,402.0
4841,4841,production,"Friedländer, David - פרידלענדר, דוד - Worte der Wahrheit und des Friedens an die gesammte jüdische Nation - Translator",1,1428490312,1428490312,1,,,,140,403.0
4842,4842,production,"Schott, Benedict - Zaphnath-Paneach Oder Sammlung moralischer Lehren, Sprüche, Erzählungen und Gedichte, aus dem Talmud - Author,Mevi La'Dfus (Producer)",1,1428490312,1428490312,1,,,,431,402.0
4843,4843,production,אנונימי - Zweite Nachricht von dem Zustande der Jüdischen Freischule in Berlin - ,1,1428490312,1428490312,1,,,,690,
4844,4844,production,"Homberg, Herz - הרץ, הומברג - Zwölf Fragen - ",1,1428490312,1428490312,1,,,,226,
4845,4845,production,"Wolfsohn-Halle, Aron - וולפסון, אהרון - אבטליון - Author",1,1428490312,1428490312,1,,,,491,402.0
4846,4846,production,"Dubno, Salomon - דובנא, שלמה - אבל יחיד - Author",1,1428490312,1428490312,1,,,,105,402.0
4847,4847,production,"Pappenheimer, Salomon Seligmann - פאפנהיים, שלמה - אגדת ארבע כוסות - Author",1,1428490312,1428490312,1,,,,395,402.0
4848,4848,production,"Levi, Avigdor - לוי, אביגדור - אגרות - Editor",1,1428490312,1428490312,1,,,,316,404.0
4849,4849,production,"Satanow, Isaak - סטנוב, יצחק - אגרת אדר היקר - Author",1,1428490312,1428490312,1,,,,423,402.0
4850,4850,production,"Landau, Israel - לנדא, ישראל - אגרת ארחות עולם - Editor",1,1428490312,1428490312,1,,,,305,404.0
